Institution_Raw,Institution,Institution_Standardized,Academic_Year,Enrolment,Student_Status,Province,Record_Type,Academic_Year_Start,Academic_Year_End
Alberta 11,Alberta,Alberta,2016/2017,190947.0,Total,Alberta,Province Total,2016,2017
"University of Alberta, Alberta",University of Alberta,University of Alberta,2016/2017,38244.0,Total,Alberta,Institution,2016,2017
"Athabasca University, Alberta",Athabasca University,Athabasca University,2016/2017,17346.0,Total,Alberta,Institution,2016,2017
"University of Calgary, Alberta",University of Calgary,University of Calgary,2016/2017,33189.0,Total,Alberta,Institution,2016,2017
"Burman University, Alberta",Burman University,Burman University,2016/2017,456.0,Total,Alberta,Institution,2016,2017
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2016/2017,1878.0,Total,Alberta,Institution,2016,2017
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2016/2017,8568.0,Total,Alberta,Institution,2016,2017
"The King's University, Alberta",The King's University,The King's University,2016/2017,780.0,Total,Alberta,Institution,2016,2017
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2016/2017,789.0,Total,Alberta,Institution,2016,2017
"Ambrose University, Alberta",Ambrose University,Ambrose University,2016/2017,612.0,Total,Alberta,Institution,2016,2017
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2016/2017,15897.0,Total,Alberta,Institution,2016,2017
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2016/2017,12675.0,Total,Alberta,Institution,2016,2017
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2016/2017,1140.0,Total,Alberta,Institution,2016,2017
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2016/2017,7242.0,Total,Alberta,Institution,2016,2017
"Olds College, Alberta",Olds College,Olds College,2016/2017,1167.0,Total,Alberta,Institution,2016,2017
"Lakeland College, Alberta",Lakeland College,Lakeland College,2016/2017,2241.0,Total,Alberta,Institution,2016,2017
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2016/2017,1971.0,Total,Alberta,Institution,2016,2017
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2016/2017,4509.0,Total,Alberta,Institution,2016,2017
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2016/2017,2397.0,Total,Alberta,Institution,2016,2017
"Keyano College, Alberta",Keyano College,Keyano College,2016/2017,1146.0,Total,Alberta,Institution,2016,2017
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2016/2017,3912.0,Total,Alberta,Institution,2016,2017
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2016/2017,12687.0,Total,Alberta,Institution,2016,2017
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2016/2017,13788.0,Total,Alberta,Institution,2016,2017
"NorQuest College, Alberta",NorQuest College,NorQuest College,2016/2017,6111.0,Total,Alberta,Institution,2016,2017
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2016/2017,1278.0,Total,Alberta,Institution,2016,2017
"Portage College, Alberta",Portage College,Portage College,2016/2017,927.0,Total,Alberta,Institution,2016,2017
Alberta 11,Alberta,Alberta,2017/2018,194010.0,Total,Alberta,Province Total,2017,2018
"University of Alberta, Alberta",University of Alberta,University of Alberta,2017/2018,39363.0,Total,Alberta,Institution,2017,2018
"Athabasca University, Alberta",Athabasca University,Athabasca University,2017/2018,16941.0,Total,Alberta,Institution,2017,2018
"University of Calgary, Alberta",University of Calgary,University of Calgary,2017/2018,33903.0,Total,Alberta,Institution,2017,2018
"Burman University, Alberta",Burman University,Burman University,2017/2018,435.0,Total,Alberta,Institution,2017,2018
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2017/2018,2001.0,Total,Alberta,Institution,2017,2018
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2017/2018,8670.0,Total,Alberta,Institution,2017,2018
