Institution_Raw,Institution,Institution_Standardized,Academic_Year,Enrolment,Student_Status,Province,Record_Type,Academic_Year_Start,Academic_Year_End
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2022/2023,3852.0,Total,Alberta,Institution,2022,2023
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2022/2023,12123.0,Total,Alberta,Institution,2022,2023
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2022/2023,12870.0,Total,Alberta,Institution,2022,2023
"NorQuest College, Alberta",NorQuest College,NorQuest College,2022/2023,8781.0,Total,Alberta,Institution,2022,2023
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2022/2023,1749.0,Total,Alberta,Institution,2022,2023
"Portage College, Alberta",Portage College,Portage College,2022/2023,1398.0,Total,Alberta,Institution,2022,2023
Alberta 11,Alberta,Alberta,2023/2024,216957.0,Total,Alberta,Province Total,2023,2024
"University of Alberta, Alberta",University of Alberta,University of Alberta,2023/2024,45306.0,Total,Alberta,Institution,2023,2024
"Athabasca University, Alberta",Athabasca University,Athabasca University,2023/2024,16005.0,Total,Alberta,Institution,2023,2024
"University of Calgary, Alberta",University of Calgary,University of Calgary,2023/2024,38715.0,Total,Alberta,Institution,2023,2024
"Burman University, Alberta",Burman University,Burman University,2023/2024,333.0,Total,Alberta,Institution,2023,2024
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2023/2024,2568.0,Total,Alberta,Institution,2023,2024
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2023/2024,8682.0,Total,Alberta,Institution,2023,2024
"The King's University, Alberta",The King's University,The King's University,2023/2024,804.0,Total,Alberta,Institution,2023,2024
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2023/2024,924.0,Total,Alberta,Institution,2023,2024
"Ambrose University, Alberta",Ambrose University,Ambrose University,2023/2024,552.0,Total,Alberta,Institution,2023,2024
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2023/2024,16101.0,Total,Alberta,Institution,2023,2024
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2023/2024,14709.0,Total,Alberta,Institution,2023,2024
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2023/2024,1200.0,Total,Alberta,Institution,2023,2024
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2023/2024,8931.0,Total,Alberta,Institution,2023,2024
"Olds College, Alberta",Olds College,Olds College,2023/2024,2223.0,Total,Alberta,Institution,2023,2024
"Lakeland College, Alberta",Lakeland College,Lakeland College,2023/2024,2469.0,Total,Alberta,Institution,2023,2024
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2023/2024,1908.0,Total,Alberta,Institution,2023,2024
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2023/2024,5103.0,Total,Alberta,Institution,2023,2024
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2023/2024,2268.0,Total,Alberta,Institution,2023,2024
"Keyano College, Alberta",Keyano College,Keyano College,2023/2024,1809.0,Total,Alberta,Institution,2023,2024
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2023/2024,4242.0,Total,Alberta,Institution,2023,2024
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2023/2024,12993.0,Total,Alberta,Institution,2023,2024
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2023/2024,15306.0,Total,Alberta,Institution,2023,2024
"NorQuest College, Alberta",NorQuest College,NorQuest College,2023/2024,10299.0,Total,Alberta,Institution,2023,2024
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2023/2024,1944.0,Total,Alberta,Institution,2023,2024
"Portage College, Alberta",Portage College,Portage College,2023/2024,1569.0,Total,Alberta,Institution,2023,2024
Alberta 11,Alberta,Alberta,2014/2015,167463.0,Canadian,Alberta,Province Total,2014,2015
"University of Alberta, Alberta",University of Alberta,University of Alberta,2014/2015,31689.0,Canadian,Alberta,Institution,2014,2015
"Athabasca University, Alberta",Athabasca University,Athabasca University,2014/2015,17211.0,Canadian,Alberta,Institution,2014,2015
"University of Calgary, Alberta",University of Calgary,University of Calgary,2014/2015,28200.0,Canadian,Alberta,Institution,2014,2015
"Burman University, Alberta",Burman University,Burman University,2014/2015,423.0,Canadian,Alberta,Institution,2014,2015
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2014/2015,1368.0,Canadian,Alberta,Institution,2014,2015
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2014/2015,7614.0,Canadian,Alberta,Institution,2014,2015
"The King's University, Alberta",The King's University,The King's University,2014/2015,660.0,Canadian,Alberta,Institution,2014,2015
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2014/2015,723.0,Canadian,Alberta,Institution,2014,2015
"Ambrose University, Alberta",Ambrose University,Ambrose University,2014/2015,501.0,Canadian,Alberta,Institution,2014,2015
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2014/2015,14868.0,Canadian,Alberta,Institution,2014,2015
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2014/2015,11895.0,Canadian,Alberta,Institution,2014,2015
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2014/2015,1047.0,Canadian,Alberta,Institution,2014,2015
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2014/2015,6429.0,Canadian,Alberta,Institution,2014,2015
"Olds College, Alberta",Olds College,Olds College,2014/2015,1329.0,Canadian,Alberta,Institution,2014,2015
"Lakeland College, Alberta",Lakeland College,Lakeland College,2014/2015,1908.0,Canadian,Alberta,Institution,2014,2015
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2014/2015,1959.0,Canadian,Alberta,Institution,2014,2015
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2014/2015,4209.0,Canadian,Alberta,Institution,2014,2015
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2014/2015,2037.0,Canadian,Alberta,Institution,2014,2015
"Keyano College, Alberta",Keyano College,Keyano College,2014/2015,1359.0,Canadian,Alberta,Institution,2014,2015
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2014/2015,3279.0,Canadian,Alberta,Institution,2014,2015
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2014/2015,9603.0,Canadian,Alberta,Institution,2014,2015
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2014/2015,12915.0,Canadian,Alberta,Institution,2014,2015
"NorQuest College, Alberta",NorQuest College,NorQuest College,2014/2015,4113.0,Canadian,Alberta,Institution,2014,2015
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2014/2015,1371.0,Canadian,Alberta,Institution,2014,2015
"Portage College, Alberta",Portage College,Portage College,2014/2015,756.0,Canadian,Alberta,Institution,2014,2015
Alberta 11,Alberta,Alberta,2015/2016,167946.0,Canadian,Alberta,Province Total,2015,2016
"University of Alberta, Alberta",University of Alberta,University of Alberta,2015/2016,31041.0,Canadian,Alberta,Institution,2015,2016
"Athabasca University, Alberta",Athabasca University,Athabasca University,2015/2016,16860.0,Canadian,Alberta,Institution,2015,2016
"University of Calgary, Alberta",University of Calgary,University of Calgary,2015/2016,28398.0,Canadian,Alberta,Institution,2015,2016
"Burman University, Alberta",Burman University,Burman University,2015/2016,414.0,Canadian,Alberta,Institution,2015,2016
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2015/2016,1539.0,Canadian,Alberta,Institution,2015,2016
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2015/2016,7869.0,Canadian,Alberta,Institution,2015,2016
"The King's University, Alberta",The King's University,The King's University,2015/2016,711.0,Canadian,Alberta,Institution,2015,2016
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2015/2016,765.0,Canadian,Alberta,Institution,2015,2016
"Ambrose University, Alberta",Ambrose University,Ambrose University,2015/2016,555.0,Canadian,Alberta,Institution,2015,2016
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2015/2016,14772.0,Canadian,Alberta,Institution,2015,2016
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2015/2016,11712.0,Canadian,Alberta,Institution,2015,2016
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2015/2016,1083.0,Canadian,Alberta,Institution,2015,2016
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2015/2016,6477.0,Canadian,Alberta,Institution,2015,2016
"Olds College, Alberta",Olds College,Olds College,2015/2016,1140.0,Canadian,Alberta,Institution,2015,2016
"Lakeland College, Alberta",Lakeland College,Lakeland College,2015/2016,2019.0,Canadian,Alberta,Institution,2015,2016
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2015/2016,1893.0,Canadian,Alberta,Institution,2015,2016
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2015/2016,4137.0,Canadian,Alberta,Institution,2015,2016
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2015/2016,2070.0,Canadian,Alberta,Institution,2015,2016
"Keyano College, Alberta",Keyano College,Keyano College,2015/2016,1167.0,Canadian,Alberta,Institution,2015,2016
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2015/2016,3549.0,Canadian,Alberta,Institution,2015,2016
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2015/2016,10416.0,Canadian,Alberta,Institution,2015,2016
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2015/2016,12546.0,Canadian,Alberta,Institution,2015,2016
"NorQuest College, Alberta",NorQuest College,NorQuest College,2015/2016,4827.0,Canadian,Alberta,Institution,2015,2016
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2015/2016,1173.0,Canadian,Alberta,Institution,2015,2016
"Portage College, Alberta",Portage College,Portage College,2015/2016,816.0,Canadian,Alberta,Institution,2015,2016
Alberta 11,Alberta,Alberta,2016/2017,172506.0,Canadian,Alberta,Province Total,2016,2017
"University of Alberta, Alberta",University of Alberta,University of Alberta,2016/2017,31467.0,Canadian,Alberta,Institution,2016,2017
"Athabasca University, Alberta",Athabasca University,Athabasca University,2016/2017,16836.0,Canadian,Alberta,Institution,2016,2017
"University of Calgary, Alberta",University of Calgary,University of Calgary,2016/2017,29697.0,Canadian,Alberta,Institution,2016,2017
"Burman University, Alberta",Burman University,Burman University,2016/2017,390.0,Canadian,Alberta,Institution,2016,2017
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2016/2017,1707.0,Canadian,Alberta,Institution,2016,2017
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2016/2017,8022.0,Canadian,Alberta,Institution,2016,2017
"The King's University, Alberta",The King's University,The King's University,2016/2017,723.0,Canadian,Alberta,Institution,2016,2017
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2016/2017,780.0,Canadian,Alberta,Institution,2016,2017
"Ambrose University, Alberta",Ambrose University,Ambrose University,2016/2017,588.0,Canadian,Alberta,Institution,2016,2017
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2016/2017,14865.0,Canadian,Alberta,Institution,2016,2017
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2016/2017,12216.0,Canadian,Alberta,Institution,2016,2017
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2016/2017,1068.0,Canadian,Alberta,Institution,2016,2017
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2016/2017,6528.0,Canadian,Alberta,Institution,2016,2017
"Olds College, Alberta",Olds College,Olds College,2016/2017,1137.0,Canadian,Alberta,Institution,2016,2017
"Lakeland College, Alberta",Lakeland College,Lakeland College,2016/2017,2169.0,Canadian,Alberta,Institution,2016,2017
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2016/2017,1926.0,Canadian,Alberta,Institution,2016,2017
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2016/2017,4275.0,Canadian,Alberta,Institution,2016,2017
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2016/2017,2181.0,Canadian,Alberta,Institution,2016,2017
"Keyano College, Alberta",Keyano College,Keyano College,2016/2017,1044.0,Canadian,Alberta,Institution,2016,2017
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2016/2017,3798.0,Canadian,Alberta,Institution,2016,2017
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2016/2017,11217.0,Canadian,Alberta,Institution,2016,2017
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2016/2017,11949.0,Canadian,Alberta,Institution,2016,2017
"NorQuest College, Alberta",NorQuest College,NorQuest College,2016/2017,5745.0,Canadian,Alberta,Institution,2016,2017
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2016/2017,1269.0,Canadian,Alberta,Institution,2016,2017
"Portage College, Alberta",Portage College,Portage College,2016/2017,909.0,Canadian,Alberta,Institution,2016,2017
Alberta 11,Alberta,Alberta,2017/2018,175065.0,Canadian,Alberta,Province Total,2017,2018
"University of Alberta, Alberta",University of Alberta,University of Alberta,2017/2018,32043.0,Canadian,Alberta,Institution,2017,2018
"Athabasca University, Alberta",Athabasca University,Athabasca University,2017/2018,16371.0,Canadian,Alberta,Institution,2017,2018
"University of Calgary, Alberta",University of Calgary,University of Calgary,2017/2018,30195.0,Canadian,Alberta,Institution,2017,2018
"Burman University, Alberta",Burman University,Burman University,2017/2018,375.0,Canadian,Alberta,Institution,2017,2018
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2017/2018,1848.0,Canadian,Alberta,Institution,2017,2018
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2017/2018,8169.0,Canadian,Alberta,Institution,2017,2018
"The King's University, Alberta",The King's University,The King's University,2017/2018,747.0,Canadian,Alberta,Institution,2017,2018
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2017/2018,870.0,Canadian,Alberta,Institution,2017,2018
"Ambrose University, Alberta",Ambrose University,Ambrose University,2017/2018,576.0,Canadian,Alberta,Institution,2017,2018
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2017/2018,15195.0,Canadian,Alberta,Institution,2017,2018
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2017/2018,12837.0,Canadian,Alberta,Institution,2017,2018
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2017/2018,1026.0,Canadian,Alberta,Institution,2017,2018
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2017/2018,6420.0,Canadian,Alberta,Institution,2017,2018
"Olds College, Alberta",Olds College,Olds College,2017/2018,1194.0,Canadian,Alberta,Institution,2017,2018
"Lakeland College, Alberta",Lakeland College,Lakeland College,2017/2018,2226.0,Canadian,Alberta,Institution,2017,2018
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2017/2018,1884.0,Canadian,Alberta,Institution,2017,2018
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2017/2018,4356.0,Canadian,Alberta,Institution,2017,2018
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2017/2018,2103.0,Canadian,Alberta,Institution,2017,2018
"Keyano College, Alberta",Keyano College,Keyano College,2017/2018,1149.0,Canadian,Alberta,Institution,2017,2018
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2017/2018,3861.0,Canadian,Alberta,Institution,2017,2018
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2017/2018,11631.0,Canadian,Alberta,Institution,2017,2018
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2017/2018,11793.0,Canadian,Alberta,Institution,2017,2018
"NorQuest College, Alberta",NorQuest College,NorQuest College,2017/2018,5865.0,Canadian,Alberta,Institution,2017,2018
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2017/2018,1410.0,Canadian,Alberta,Institution,2017,2018
"Portage College, Alberta",Portage College,Portage College,2017/2018,921.0,Canadian,Alberta,Institution,2017,2018
Alberta 11,Alberta,Alberta,2018/2019,178617.0,Canadian,Alberta,Province Total,2018,2019
"University of Alberta, Alberta",University of Alberta,University of Alberta,2018/2019,32292.0,Canadian,Alberta,Institution,2018,2019
"Athabasca University, Alberta",Athabasca University,Athabasca University,2018/2019,17979.0,Canadian,Alberta,Institution,2018,2019
"University of Calgary, Alberta",University of Calgary,University of Calgary,2018/2019,30582.0,Canadian,Alberta,Institution,2018,2019
"Burman University, Alberta",Burman University,Burman University,2018/2019,351.0,Canadian,Alberta,Institution,2018,2019
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2018/2019,1980.0,Canadian,Alberta,Institution,2018,2019
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2018/2019,8229.0,Canadian,Alberta,Institution,2018,2019
"The King's University, Alberta",The King's University,The King's University,2018/2019,765.0,Canadian,Alberta,Institution,2018,2019
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2018/2019,906.0,Canadian,Alberta,Institution,2018,2019
"Ambrose University, Alberta",Ambrose University,Ambrose University,2018/2019,567.0,Canadian,Alberta,Institution,2018,2019
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2018/2019,14979.0,Canadian,Alberta,Institution,2018,2019
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2018/2019,13005.0,Canadian,Alberta,Institution,2018,2019
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2018/2019,993.0,Canadian,Alberta,Institution,2018,2019
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2018/2019,6813.0,Canadian,Alberta,Institution,2018,2019
"Olds College, Alberta",Olds College,Olds College,2018/2019,1248.0,Canadian,Alberta,Institution,2018,2019
"Lakeland College, Alberta",Lakeland College,Lakeland College,2018/2019,2226.0,Canadian,Alberta,Institution,2018,2019
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2018/2019,1866.0,Canadian,Alberta,Institution,2018,2019
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2018/2019,4401.0,Canadian,Alberta,Institution,2018,2019
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2018/2019,2016.0,Canadian,Alberta,Institution,2018,2019
"Keyano College, Alberta",Keyano College,Keyano College,2018/2019,1254.0,Canadian,Alberta,Institution,2018,2019
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2018/2019,3909.0,Canadian,Alberta,Institution,2018,2019
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2018/2019,11778.0,Canadian,Alberta,Institution,2018,2019
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2018/2019,11988.0,Canadian,Alberta,Institution,2018,2019
"NorQuest College, Alberta",NorQuest College,NorQuest College,2018/2019,6093.0,Canadian,Alberta,Institution,2018,2019
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2018/2019,1413.0,Canadian,Alberta,Institution,2018,2019
"Portage College, Alberta",Portage College,Portage College,2018/2019,984.0,Canadian,Alberta,Institution,2018,2019
Alberta 11,Alberta,Alberta,2019/2020,179178.0,Canadian,Alberta,Province Total,2019,2020
"University of Alberta, Alberta",University of Alberta,University of Alberta,2019/2020,32382.0,Canadian,Alberta,Institution,2019,2020
"Athabasca University, Alberta",Athabasca University,Athabasca University,2019/2020,18279.0,Canadian,Alberta,Institution,2019,2020
"University of Calgary, Alberta",University of Calgary,University of Calgary,2019/2020,30693.0,Canadian,Alberta,Institution,2019,2020
"Burman University, Alberta",Burman University,Burman University,2019/2020,366.0,Canadian,Alberta,Institution,2019,2020
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2019/2020,2226.0,Canadian,Alberta,Institution,2019,2020
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2019/2020,8391.0,Canadian,Alberta,Institution,2019,2020
"The King's University, Alberta",The King's University,The King's University,2019/2020,747.0,Canadian,Alberta,Institution,2019,2020
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2019/2020,984.0,Canadian,Alberta,Institution,2019,2020
"Ambrose University, Alberta",Ambrose University,Ambrose University,2019/2020,564.0,Canadian,Alberta,Institution,2019,2020
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2019/2020,14949.0,Canadian,Alberta,Institution,2019,2020
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2019/2020,13326.0,Canadian,Alberta,Institution,2019,2020
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2019/2020,1056.0,Canadian,Alberta,Institution,2019,2020
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2019/2020,6642.0,Canadian,Alberta,Institution,2019,2020
"Olds College, Alberta",Olds College,Olds College,2019/2020,1338.0,Canadian,Alberta,Institution,2019,2020
"Lakeland College, Alberta",Lakeland College,Lakeland College,2019/2020,2172.0,Canadian,Alberta,Institution,2019,2020
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2019/2020,1860.0,Canadian,Alberta,Institution,2019,2020
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2019/2020,4425.0,Canadian,Alberta,Institution,2019,2020
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2019/2020,1881.0,Canadian,Alberta,Institution,2019,2020
"Keyano College, Alberta",Keyano College,Keyano College,2019/2020,1236.0,Canadian,Alberta,Institution,2019,2020
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2019/2020,3939.0,Canadian,Alberta,Institution,2019,2020
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2019/2020,11499.0,Canadian,Alberta,Institution,2019,2020
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2019/2020,11595.0,Canadian,Alberta,Institution,2019,2020
"NorQuest College, Alberta",NorQuest College,NorQuest College,2019/2020,6294.0,Canadian,Alberta,Institution,2019,2020
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2019/2020,1374.0,Canadian,Alberta,Institution,2019,2020
"Portage College, Alberta",Portage College,Portage College,2019/2020,963.0,Canadian,Alberta,Institution,2019,2020
Alberta 11,Alberta,Alberta,2020/2021,179850.0,Canadian,Alberta,Province Total,2020,2021
"University of Alberta, Alberta",University of Alberta,University of Alberta,2020/2021,34329.0,Canadian,Alberta,Institution,2020,2021
"Athabasca University, Alberta",Athabasca University,Athabasca University,2020/2021,19908.0,Canadian,Alberta,Institution,2020,2021
"University of Calgary, Alberta",University of Calgary,University of Calgary,2020/2021,31512.0,Canadian,Alberta,Institution,2020,2021
"Burman University, Alberta",Burman University,Burman University,2020/2021,300.0,Canadian,Alberta,Institution,2020,2021
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2020/2021,2454.0,Canadian,Alberta,Institution,2020,2021
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2020/2021,8319.0,Canadian,Alberta,Institution,2020,2021
"The King's University, Alberta",The King's University,The King's University,2020/2021,768.0,Canadian,Alberta,Institution,2020,2021
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2020/2021,1005.0,Canadian,Alberta,Institution,2020,2021
"Ambrose University, Alberta",Ambrose University,Ambrose University,2020/2021,567.0,Canadian,Alberta,Institution,2020,2021
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2020/2021,15294.0,Canadian,Alberta,Institution,2020,2021
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2020/2021,13677.0,Canadian,Alberta,Institution,2020,2021
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2020/2021,1017.0,Canadian,Alberta,Institution,2020,2021
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2020/2021,5481.0,Canadian,Alberta,Institution,2020,2021
"Olds College, Alberta",Olds College,Olds College,2020/2021,1293.0,Canadian,Alberta,Institution,2020,2021
"Lakeland College, Alberta",Lakeland College,Lakeland College,2020/2021,1896.0,Canadian,Alberta,Institution,2020,2021
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2020/2021,1617.0,Canadian,Alberta,Institution,2020,2021
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2020/2021,4206.0,Canadian,Alberta,Institution,2020,2021
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2020/2021,1884.0,Canadian,Alberta,Institution,2020,2021
"Keyano College, Alberta",Keyano College,Keyano College,2020/2021,993.0,Canadian,Alberta,Institution,2020,2021
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2020/2021,3654.0,Canadian,Alberta,Institution,2020,2021
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2020/2021,11082.0,Canadian,Alberta,Institution,2020,2021
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2020/2021,10323.0,Canadian,Alberta,Institution,2020,2021
"NorQuest College, Alberta",NorQuest College,NorQuest College,2020/2021,5961.0,Canadian,Alberta,Institution,2020,2021
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2020/2021,1422.0,Canadian,Alberta,Institution,2020,2021
"Portage College, Alberta",Portage College,Portage College,2020/2021,882.0,Canadian,Alberta,Institution,2020,2021
Alberta 11,Alberta,Alberta,2021/2022,178239.0,Canadian,Alberta,Province Total,2021,2022
"University of Alberta, Alberta",University of Alberta,University of Alberta,2021/2022,35688.0,Canadian,Alberta,Institution,2021,2022
"Athabasca University, Alberta",Athabasca University,Athabasca University,2021/2022,16668.0,Canadian,Alberta,Institution,2021,2022
"University of Calgary, Alberta",University of Calgary,University of Calgary,2021/2022,31029.0,Canadian,Alberta,Institution,2021,2022
"Burman University, Alberta",Burman University,Burman University,2021/2022,273.0,Canadian,Alberta,Institution,2021,2022
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2021/2022,2376.0,Canadian,Alberta,Institution,2021,2022
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2021/2022,8499.0,Canadian,Alberta,Institution,2021,2022
"The King's University, Alberta",The King's University,The King's University,2021/2022,804.0,Canadian,Alberta,Institution,2021,2022
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2021/2022,1017.0,Canadian,Alberta,Institution,2021,2022
"Ambrose University, Alberta",Ambrose University,Ambrose University,2021/2022,531.0,Canadian,Alberta,Institution,2021,2022
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2021/2022,14973.0,Canadian,Alberta,Institution,2021,2022
