Province,Institution,Record_Type,Academic_Year,Academic_Year_Start,Academic_Year_End,Enrolment
Alberta,Lakeland College,Institution,2023/2024,2023,2024,2469
Alberta,Lethbridge College,Institution,2014/2015,2014,2015,4413
Alberta,Lethbridge College,Institution,2015/2016,2015,2016,4332
Alberta,Lethbridge College,Institution,2016/2017,2016,2017,4509
Alberta,Lethbridge College,Institution,2017/2018,2017,2018,4584
Alberta,Lethbridge College,Institution,2018/2019,2018,2019,4845
Alberta,Lethbridge College,Institution,2019/2020,2019,2020,5040
Alberta,Lethbridge College,Institution,2020/2021,2020,2021,4707
Alberta,Lethbridge College,Institution,2021/2022,2021,2022,4626
Alberta,Lethbridge College,Institution,2022/2023,2022,2023,4734
Alberta,Lethbridge College,Institution,2023/2024,2023,2024,5103
Alberta,Medicine Hat College,Institution,2014/2015,2014,2015,2271
Alberta,Medicine Hat College,Institution,2015/2016,2015,2016,2283
Alberta,Medicine Hat College,Institution,2016/2017,2016,2017,2397
Alberta,Medicine Hat College,Institution,2017/2018,2017,2018,2355
Alberta,Medicine Hat College,Institution,2018/2019,2018,2019,2310
Alberta,Medicine Hat College,Institution,2019/2020,2019,2020,2184
Alberta,Medicine Hat College,Institution,2020/2021,2020,2021,2088
Alberta,Medicine Hat College,Institution,2021/2022,2021,2022,2019
Alberta,Medicine Hat College,Institution,2022/2023,2022,2023,2082
Alberta,Medicine Hat College,Institution,2023/2024,2023,2024,2268
Alberta,Mount Royal University,Institution,2014/2015,2014,2015,12372
Alberta,Mount Royal University,Institution,2015/2016,2015,2016,12216
Alberta,Mount Royal University,Institution,2016/2017,2016,2017,12675
Alberta,Mount Royal University,Institution,2017/2018,2017,2018,13209
Alberta,Mount Royal University,Institution,2018/2019,2018,2019,13362
Alberta,Mount Royal University,Institution,2019/2020,2019,2020,13674
Alberta,Mount Royal University,Institution,2020/2021,2020,2021,14019
Alberta,Mount Royal University,Institution,2021/2022,2021,2022,14346
Alberta,Mount Royal University,Institution,2022/2023,2022,2023,14187
Alberta,Mount Royal University,Institution,2023/2024,2023,2024,14709
Alberta,NorQuest College,Institution,2014/2015,2014,2015,4212
Alberta,NorQuest College,Institution,2015/2016,2015,2016,5097
Alberta,NorQuest College,Institution,2016/2017,2016,2017,6111
Alberta,NorQuest College,Institution,2017/2018,2017,2018,6345
Alberta,NorQuest College,Institution,2018/2019,2018,2019,7035
Alberta,NorQuest College,Institution,2019/2020,2019,2020,7536
Alberta,NorQuest College,Institution,2020/2021,2020,2021,7143
Alberta,NorQuest College,Institution,2021/2022,2021,2022,7821
Alberta,NorQuest College,Institution,2022/2023,2022,2023,8781
Alberta,NorQuest College,Institution,2023/2024,2023,2024,10299
Alberta,Northern Alberta Institute of Technology,Institution,2014/2015,2014,2015,10833
Alberta,Northern Alberta Institute of Technology,Institution,2015/2016,2015,2016,11784
Alberta,Northern Alberta Institute of Technology,Institution,2016/2017,2016,2017,12687
Alberta,Northern Alberta Institute of Technology,Institution,2017/2018,2017,2018,12972
Alberta,Northern Alberta Institute of Technology,Institution,2018/2019,2018,2019,13194
Alberta,Northern Alberta Institute of Technology,Institution,2019/2020,2019,2020,13242
Alberta,Northern Alberta Institute of Technology,Institution,2020/2021,2020,2021,12909
Alberta,Northern Alberta Institute of Technology,Institution,2021/2022,2021,2022,12723
Alberta,Northern Alberta Institute of Technology,Institution,2022/2023,2022,2023,12123
Alberta,Northern Alberta Institute of Technology,Institution,2023/2024,2023,2024,12993
Alberta,Northern Lakes College,Institution,2014/2015,2014,2015,1389
Alberta,Northern Lakes College,Institution,2015/2016,2015,2016,1185
Alberta,Northern Lakes College,Institution,2016/2017,2016,2017,1278
Alberta,Northern Lakes College,Institution,2017/2018,2017,2018,1413
Alberta,Northern Lakes College,Institution,2018/2019,2018,2019,1416
Alberta,Northern Lakes College,Institution,2019/2020,2019,2020,1377
Alberta,Northern Lakes College,Institution,2020/2021,2020,2021,1434
Alberta,Northern Lakes College,Institution,2021/2022,2021,2022,1581
Alberta,Northern Lakes College,Institution,2022/2023,2022,2023,1749
Alberta,Northern Lakes College,Institution,2023/2024,2023,2024,1944
Alberta,Northwestern Polytechnic,Institution,2014/2015,2014,2015,1995
Alberta,Northwestern Polytechnic,Institution,2015/2016,2015,2016,1947
Alberta,Northwestern Polytechnic,Institution,2016/2017,2016,2017,1971
Alberta,Northwestern Polytechnic,Institution,2017/2018,2017,2018,1935
Alberta,Northwestern Polytechnic,Institution,2018/2019,2018,2019,1953
Alberta,Northwestern Polytechnic,Institution,2019/2020,2019,2020,2046
Alberta,Northwestern Polytechnic,Institution,2020/2021,2020,2021,1764
Alberta,Northwestern Polytechnic,Institution,2021/2022,2021,2022,1701
Alberta,Northwestern Polytechnic,Institution,2022/2023,2022,2023,1632
Alberta,Northwestern Polytechnic,Institution,2023/2024,2023,2024,1908
Alberta,Olds College,Institution,2014/2015,2014,2015,1371
Alberta,Olds College,Institution,2015/2016,2015,2016,1170
Alberta,Olds College,Institution,2016/2017,2016,2017,1167
Alberta,Olds College,Institution,2017/2018,2017,2018,1236
Alberta,Olds College,Institution,2018/2019,2018,2019,1365
Alberta,Olds College,Institution,2019/2020,2019,2020,1461
Alberta,Olds College,Institution,2020/2021,2020,2021,1383
Alberta,Olds College,Institution,2021/2022,2021,2022,1518
Alberta,Olds College,Institution,2022/2023,2022,2023,1782
Alberta,Olds College,Institution,2023/2024,2023,2024,2223
Alberta,Portage College,Institution,2014/2015,2014,2015,759
Alberta,Portage College,Institution,2015/2016,2015,2016,825
Alberta,Portage College,Institution,2016/2017,2016,2017,927
Alberta,Portage College,Institution,2017/2018,2017,2018,933
Alberta,Portage College,Institution,2018/2019,2018,2019,987
Alberta,Portage College,Institution,2019/2020,2019,2020,969
Alberta,Portage College,Institution,2020/2021,2020,2021,885
Alberta,Portage College,Institution,2021/2022,2021,2022,1095
Alberta,Portage College,Institution,2022/2023,2022,2023,1398
Alberta,Portage College,Institution,2023/2024,2023,2024,1569
Alberta,Red Deer Polytechnic,Institution,2014/2015,2014,2015,3345
Alberta,Red Deer Polytechnic,Institution,2015/2016,2015,2016,3636
Alberta,Red Deer Polytechnic,Institution,2016/2017,2016,2017,3912
Alberta,Red Deer Polytechnic,Institution,2017/2018,2017,2018,3951
Alberta,Red Deer Polytechnic,Institution,2018/2019,2018,2019,4023
Alberta,Red Deer Polytechnic,Institution,2019/2020,2019,2020,4104
Alberta,Red Deer Polytechnic,Institution,2020/2021,2020,2021,3837
Alberta,Red Deer Polytechnic,Institution,2021/2022,2021,2022,3705
Alberta,Red Deer Polytechnic,Institution,2022/2023,2022,2023,3852
Alberta,Red Deer Polytechnic,Institution,2023/2024,2023,2024,4242
Alberta,Southern Alberta Institute of Technology,Institution,2014/2015,2014,2015,14307
Alberta,Southern Alberta Institute of Technology,Institution,2015/2016,2015,2016,14268
Alberta,Southern Alberta Institute of Technology,Institution,2016/2017,2016,2017,13788
Alberta,Southern Alberta Institute of Technology,Institution,2017/2018,2017,2018,13041
Alberta,Southern Alberta Institute of Technology,Institution,2018/2019,2018,2019,13587
Alberta,Southern Alberta Institute of Technology,Institution,2019/2020,2019,2020,13629
Alberta,Southern Alberta Institute of Technology,Institution,2020/2021,2020,2021,12240
Alberta,Southern Alberta Institute of Technology,Institution,2021/2022,2021,2022,12312
Alberta,Southern Alberta Institute of Technology,Institution,2022/2023,2022,2023,12870
Alberta,Southern Alberta Institute of Technology,Institution,2023/2024,2023,2024,15306
Alberta,St. Mary's University,Institution,2014/2015,2014,2015,732
Alberta,St. Mary's University,Institution,2015/2016,2015,2016,771
Alberta,St. Mary's University,Institution,2016/2017,2016,2017,789
Alberta,St. Mary's University,Institution,2017/2018,2017,2018,888
Alberta,St. Mary's University,Institution,2018/2019,2018,2019,921
Alberta,St. Mary's University,Institution,2019/2020,2019,2020,999
Alberta,St. Mary's University,Institution,2020/2021,2020,2021,1020
Alberta,St. Mary's University,Institution,2021/2022,2021,2022,1032
Alberta,St. Mary's University,Institution,2022/2023,2022,2023,942
Alberta,St. Mary's University,Institution,2023/2024,2023,2024,924
Alberta,The King's University,Institution,2014/2015,2014,2015,702
Alberta,The King's University,Institution,2015/2016,2015,2016,765
Alberta,The King's University,Institution,2016/2017,2016,2017,780
Alberta,The King's University,Institution,2017/2018,2017,2018,810
Alberta,The King's University,Institution,2018/2019,2018,2019,825
Alberta,The King's University,Institution,2019/2020,2019,2020,834
Alberta,The King's University,Institution,2020/2021,2020,2021,849
Alberta,The King's University,Institution,2021/2022,2021,2022,879
Alberta,The King's University,Institution,2022/2023,2022,2023,810
Alberta,The King's University,Institution,2023/2024,2023,2024,804
Alberta,University of Alberta,Institution,2014/2015,2014,2015,38520
Alberta,University of Alberta,Institution,2015/2016,2015,2016,37716
Alberta,University of Alberta,Institution,2016/2017,2016,2017,38244
Alberta,University of Alberta,Institution,2017/2018,2017,2018,39363
Alberta,University of Alberta,Institution,2018/2019,2018,2019,40017
Alberta,University of Alberta,Institution,2019/2020,2019,2020,40590
Alberta,University of Alberta,Institution,2020/2021,2020,2021,42270
Alberta,University of Alberta,Institution,2021/2022,2021,2022,43905
Alberta,University of Alberta,Institution,2022/2023,2022,2023,44535
Alberta,University of Alberta,Institution,2023/2024,2023,2024,45306
Alberta,University of Calgary,Institution,2014/2015,2014,2015,31308
Alberta,University of Calgary,Institution,2015/2016,2015,2016,31749
Alberta,University of Calgary,Institution,2016/2017,2016,2017,33189
